accuracy,error_type,f1,iou,precision,recall,reward
1.0,No Error,1.0,1.0,1.0,1.0,37.0
1.0,No Error,1.0,1.0,1.0,1.0,37.0
1.0,No Error,1.0,1.0,1.0,1.0,37.0
1.0,No Error,1.0,1.0,1.0,1.0,37.0
1.0,No Error,1.0,1.0,1.0,1.0,37.0
1.0,No Error,1.0,1.0,1.0,1.0,37.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,17.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.125,No Error,0.2222222222222222,0.125,1.0,0.125,13.625
0.125,No Error,0.2222222222222222,0.125,1.0,0.125,13.625
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.125,No Error,0.2222222222222222,0.125,1.0,0.125,13.625
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,19.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,15.0
0.125,No Error,0.2222222222222222,0.125,1.0,0.125,13.625
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,5.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,6.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,6.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,6.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
0.0,No Error,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,15.0
0.0,No Error,-1.0,0.0,0.0,0.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,7.0
1,No Error,1.0,0.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
0.6,No Error,0.7499999999999999,0.6,0.6,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,26.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,35.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,26.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,25.0
1.0,No Error,1.0,1.0,1.0,1.0,25.0
1.0,No Error,1.0,1.0,1.0,1.0,27.0
1.0,No Error,1.0,1.0,1.0,1.0,27.0
1.0,No Error,1.0,1.0,1.0,1.0,25.0
0.0,No Error,-1.0,0.0,0.0,0.0,20.0
1.0,No Error,1.0,1.0,1.0,1.0,27.0
1.0,No Error,1.0,1.0,1.0,1.0,25.0
0.0,No Error,-1.0,0.0,0.0,0.0,22.0
1.0,No Error,1.0,1.0,1.0,1.0,25.0
1.0,No Error,1.0,1.0,1.0,1.0,25.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
1.0,No Error,1.0,1.0,1.0,1.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
0.0,No Error,-1.0,0.0,0.0,0.0,6.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,11.0
0.0,No Error,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,17.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,12.0
1.0,No Error,1.0,1.0,1.0,1.0,17.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,20.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,9.0
1.0,No Error,1.0,1.0,1.0,1.0,14.0
0.0,No Error,-1.0,0.0,0.0,0.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,19.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,17.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,16.0
0.0,No Error,-1.0,0.0,0.0,0.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,20.0
0.0,No Error,-1.0,0.0,0.0,0.0,16.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,18.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,31.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,32.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
1.0,No Error,1.0,1.0,1.0,1.0,13.0
0.14285714285714285,No Error,0.25,0.14285714285714285,0.14285714285714285,1.0,9.714285714285714
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,19.0
1.0,No Error,1.0,1.0,1.0,1.0,19.0
